user_country,source,content,date
on the 1s & 2s,Twitter for iPhone,"Gotta admit, i am looking forward to @kwelkernbc at the helm of tonight’s #PresidentialDebate with these topics in hand:  Fighting #COVID19 American Families #Race in America #ClimateChange National Security Leadership  #Debates2020",2020-10-22T21:10:00+00:00
"Nashville, TN",Twitter for iPhone,"Debate topics tonight are: Fighting COVID-19, American Families, Race in America, Climate Change, National Security, and Leadership.  To Trump, they are: Biden would have been a disaster, Biden Crime Family, Lowest Unemployment ever, scientists disagree, and Hunter Biden x2",2020-10-22T21:08:43+00:00
"Wisconsin, USA",Twitter Web App,"Great Afternoon #Tribe Check out this video from @PBS: Driving While Black: Race, Space and Mobility in America https://t.co/NPF64s5lin  #PoliceBrutalityMustEnd #PoliceReform #PoliceBrutality #AfternoonExpress #WOW2020 #BlackTwitter #blacktober #GreenBook #BlackBusiness #TimesNow",2020-10-22T21:08:07+00:00
"Los Angeles, CA",HubSpot,"The #debate topics are fighting COVID-19, American families, race in America, climate change, national security, &amp; leadership. Trump doesn't even believe some of these topics exist... @JoeBiden has a comprehensive plan for all of them #TeamJoe",2020-10-22T21:07:09+00:00
New York City,Twitter Web App,"Leading the conversation is Angie Schmitt (@schmangee), author of the newly published and essential ""Right of Way: Race, Class, and the Silent Epidemic of Pedestrian Deaths in America"" https://t.co/x9Dg15noyj",2020-10-22T21:04:39+00:00
,Sprout Social,The final #PresidentialDebate between @realDonaldTrump and @JoeBiden airs TONIGHT at 9 p.m. ET! Here are the official topics of discussion moderated by @kwelkernbc:  🗳 Fighting COVID-19 🗳 American Families 🗳 Race in America 🗳 Climate Change 🗳 National Security 🗳 Leadership https://t.co/Xmv6IRPSj6,2020-10-22T21:01:03+00:00
"1 Campus Martius, Detroit, MI",Twitter Web App,"Watch Live: https://t.co/n97wZ0YjkC   The Final 2020 Presidential Debate: Trump Vs Biden  Fighting COVID-19, American families, national security, leadership, climate change and race in America are the topics for tonight starting at 9:00pm ET. #Debate2020  https://t.co/z6NIiLiLBI https://t.co/7H7QVEkljV",2020-10-22T20:57:26+00:00
Cambridge and New York,Twitter Web App,"✅American families ✅Race in America ✅Climate change ✅National security ✅Leadership are the topics that @kwelkernbc has picked for the #PresidentialDebate. The candidates won't get into the intricacies of race &amp; politics, but you can! https://t.co/kHNMDm7ITM",2020-10-22T20:56:10+00:00
"Arizona, USA",Twitter for iPhone,"@TChristensen_5 So, I challenge you to listen to these three videos of James Baldwin eloquently explaining the issues of race in America, and I look forward to hearing what you think:   https://t.co/OgjaaGsUoo  https://t.co/9yeA3DiJDK  https://t.co/gJzF9Dqste",2020-10-22T20:54:22+00:00
,Twitter Web App,"@_AsWeSpeak @maddow It is so disheartening,painful and embarrassing to watch that politics in America the land of the braves,and integrity is now worse than third world countries.We want to feel like it is normal.But it is not. Race is not the problem. Dishonesty and hate are.",2020-10-22T20:53:23+00:00
